"id","host_id","host_response_rate","host_is_superhost","property_type","host_identity_verified","neighbourhood_cleansed","instant_bookable","cancellation_policy","accommodates","bathrooms","bedrooms","beds","price"
25753680,180824391,1,"t","House","f","Dunbar Southlands","t","strict_14_with_grace_period",2,1.5,1,1,65
37098104,211749204,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",3,1,1,2,158
34717482,39021349,1,"f","House","f","Riley Park","f","moderate",4,1,2,3,180
32465593,243900977,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",1,1,1,1,390
24501762,122773552,1,"f","Loft","t","Downtown","f","strict_14_with_grace_period",4,1.5,1,2,124
39783770,22603103,1,"f","Bungalow","t","West Point Grey","f","moderate",2,1,1,1,69
23482800,139891966,1,"f","Apartment","f","Fairview","f","moderate",4,2,2,2,135
37162570,277254993,1,"f","House","f","Marpole","t","strict_14_with_grace_period",1,2,1,1,26
38468034,293296720,1,"f","Apartment","f","Downtown Eastside","t","strict_14_with_grace_period",5,1,0,3,250
19057561,133036537,1,"f","Apartment","f","West End","t","strict_14_with_grace_period",2,1,1,1,65
21276385,32700379,0.9,"t","Apartment","t","West End","f","strict_14_with_grace_period",5,1,2,3,180
36574970,274943446,1,"f","Apartment","f","Mount Pleasant","f","flexible",6,1,2,2,269
34482724,260297005,1,"f","Guest suite","f","Kensington-Cedar Cottage","t","moderate",2,1,1,1,151
1343519,70137,0.94,"f","House","t","West End","f","strict_14_with_grace_period",2,1,1,1,95
11677752,62021356,NA,"f","House","t","Sunset","f","strict_14_with_grace_period",2,1,1,1,110
38733843,6641619,1,"t","Apartment","t","Kitsilano","t","flexible",4,1,2,2,106
31891305,239048811,1,"t","House","t","Riley Park","f","moderate",2,1,1,1,59
21503358,119393504,NA,"f","House","f","Victoria-Fraserview","f","flexible",2,1,1,1,45
26853674,61155359,1,"f","Apartment","t","Downtown","t","strict_14_with_grace_period",6,1,2,4,300
34747304,212504336,1,"t","Apartment","f","West End","t","flexible",2,1,1,1,125
6468462,8691370,1,"f","House","t","Grandview-Woodland","f","strict_14_with_grace_period",5,2.5,2,2,246
30371290,9838373,1,"f","House","t","Sunset","f","strict_14_with_grace_period",13,6,7,7,899
33978269,256572101,1,"f","Condominium","f","Marpole","t","strict_14_with_grace_period",4,2,2,2,178
19702540,49904968,1,"t","Apartment","t","Mount Pleasant","t","flexible",2,1,2,1,224
35145638,264698752,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,250
34209584,253337612,1,"f","House","f","Renfrew-Collingwood","t","moderate",4,1,0,3,70
19507901,135463390,1,"t","Apartment","t","Downtown","t","strict_14_with_grace_period",6,2,3,3,199
38139795,137363515,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",4,1,1,1,298
36838292,140847862,NA,"f","House","f","Dunbar Southlands","t","flexible",8,4.5,4,4,1000
3230315,600607,1,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,87
27398414,4042017,0.25,"f","House","f","Shaughnessy","f","flexible",4,1,1,2,100
38904090,63953614,1,"f","House","f","Riley Park","f","moderate",2,1,2,1,75
35572828,205309212,1,"t","Guest suite","f","South Cambie","t","strict_14_with_grace_period",4,1,2,2,226
39321156,253747001,1,"t","House","t","Sunset","t","flexible",2,2,1,1,88
731219,3804851,1,"t","Guesthouse","t","Kitsilano","f","strict_14_with_grace_period",2,1,1,2,151
5642358,29242140,1,"t","House","t","Killarney","f","moderate",2,1.5,1,2,70
7090317,37163199,1,"f","Apartment","t","Kitsilano","f","strict_14_with_grace_period",1,1,1,1,59
29779149,223896599,1,"f","Villa","f","Arbutus Ridge","t","moderate",4,1,2,2,59
1007137,5539641,NA,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",4,2,2,2,280
37920844,285956680,0.99,"t","Condominium","f","West End","t","moderate",3,1,1,2,339
26337636,198082822,NA,"t","Guest suite","f","Riley Park","t","flexible",4,2,1,2,81
34649225,259817780,1,"t","Guest suite","f","Kitsilano","f","moderate",2,1,1,1,70
16987578,113740248,1,"t","House","f","Kensington-Cedar Cottage","t","flexible",4,1,1,2,55
23020307,55306955,1,"f","Tiny house","t","South Cambie","t","moderate",2,1,0,1,125
23373125,17017071,NA,"f","Apartment","f","Grandview-Woodland","t","strict_14_with_grace_period",3,1,1,1,199
31344157,234170711,1,"f","House","f","Marpole","t","flexible",2,1,1,1,70
26534047,32304839,1,"f","House","f","Kensington-Cedar Cottage","f","flexible",2,2,1,2,50
39749218,271581542,1,"t","House","t","Renfrew-Collingwood","f","flexible",2,1,2,2,90
20559146,33057368,1,"f","House","f","Renfrew-Collingwood","t","moderate",2,1,1,1,106
36741601,102632012,1,"f","Condominium","f","Downtown","f","flexible",4,1,1,2,116
30231963,227040698,0.9,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",4,1,1,1,349
17478640,118398900,1,"f","Apartment","t","Downtown","f","moderate",2,1,1,1,99
20764297,81160903,0.92,"f","Guest suite","f","Kensington-Cedar Cottage","t","moderate",4,1,2,1,110
29742315,111619036,1,"f","Guesthouse","f","Shaughnessy","t","moderate",2,1,1,2,69
1678734,1896075,1,"t","Guest suite","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",4,1,1,2,125
24185198,174479501,NA,"f","House","f","Riley Park","t","moderate",4,2,2,2,199
32470838,227205574,0.9,"f","Condominium","t","Downtown Eastside","t","moderate",6,2,2,2,350
37096618,259587731,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",6,2,2,3,400
39511588,41510656,1,"f","Guest suite","t","Kensington-Cedar Cottage","t","strict_14_with_grace_period",3,1,1,1,54
13655645,2350834,0.5,"f","Guest suite","t","Fairview","f","strict_14_with_grace_period",4,1,1,1,61
36357382,52673082,1,"f","Guest suite","t","Renfrew-Collingwood","f","flexible",6,2,3,3,250
23125839,158784480,NA,"f","Townhouse","f","Kitsilano","f","strict_14_with_grace_period",6,2,3,4,465
39825525,306404210,NA,"f","Apartment","f","Downtown","t","moderate",2,1,1,1,88
25973255,67679957,1,"t","Condominium","f","Fairview","t","strict_14_with_grace_period",2,1,1,1,98
24559993,2568168,1,"f","Condominium","t","West End","f","strict_14_with_grace_period",2,1,0,1,125
15147197,95795020,1,"t","Guest suite","f","Kitsilano","t","moderate",2,1,1,2,85
13968919,83274459,1,"f","House","t","Mount Pleasant","f","moderate",4,1,2,2,240
34940642,65665444,NA,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",6,2.5,2,2,380
39952863,307935007,NA,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",6,2,3,4,399
38779397,209354041,1,"f","Townhouse","f","Downtown","t","strict_14_with_grace_period",2,1.5,1,1,125
38821323,268365397,1,"t","Townhouse","f","West End","t","moderate",4,1,2,2,250
31853839,5123498,1,"t","Guest suite","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",2,1,1,1,75
39296905,252912378,1,"f","Townhouse","f","Downtown","t","moderate",2,1,1,1,81
28622462,149739236,1,"f","Townhouse","t","Kitsilano","f","moderate",2,1,1,1,100
1466647,7856227,0.67,"f","Apartment","t","Downtown","f","moderate",2,1,1,1,462
37429640,10374538,1,"f","House","t","Kensington-Cedar Cottage","f","flexible",2,1,1,1,59
16221082,105984158,1,"f","Apartment","f","West End","t","strict_14_with_grace_period",4,1,1,1,135
12857585,61685635,1,"t","Guest suite","t","Riley Park","t","strict_14_with_grace_period",4,1,2,3,250
28055256,108059673,NA,"t","House","f","Riley Park","t","strict_14_with_grace_period",6,2,3,3,199
26755517,20124583,1,"t","Condominium","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,176
18451694,127930252,NA,"f","House","f","Kitsilano","f","strict_14_with_grace_period",2,1,1,1,119
35425014,24057390,1,"t","House","t","Riley Park","t","moderate",2,1,1,1,81
35512688,38010942,1,"f","House","f","West Point Grey","t","moderate",7,1,2,3,300
39447168,279062669,0.9,"f","House","f","South Cambie","f","flexible",8,2,3,3,300
34235666,193089923,1,"f","Condominium","f","Killarney","t","strict_14_with_grace_period",2,1,1,2,180
2324620,6624242,1,"t","House","f","Mount Pleasant","f","moderate",2,1,1,1,75
33558614,198024820,1,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",4,2,2,2,250
30773008,11347771,0.83,"f","House","f","Arbutus Ridge","t","moderate",7,3,4,4,576
36364192,271557971,0.88,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",8,2,2,4,304
29101935,119721827,1,"t","Loft","f","Downtown Eastside","f","strict_14_with_grace_period",2,1,0,2,110
3331054,16816923,1,"t","Guest suite","t","Hastings-Sunrise","t","strict_14_with_grace_period",2,1,0,1,73
35466121,230518254,NA,"f","Townhouse","f","Kitsilano","f","strict_14_with_grace_period",7,2.5,4,4,500
33059433,248799354,0.9,"f","Condominium","f","West End","f","strict_14_with_grace_period",5,2,2,2,250
27656871,22825096,NA,"f","Condominium","t","Downtown Eastside","t","strict_14_with_grace_period",2,1,1,1,199
32128878,238095145,1,"t","House","f","Renfrew-Collingwood","f","strict_14_with_grace_period",2,1,1,2,44
35809985,269391225,1,"t","Townhouse","f","Downtown","f","strict_14_with_grace_period",4,1.5,2,2,257
28049283,6662934,1,"t","Townhouse","t","Mount Pleasant","f","strict_14_with_grace_period",6,2,3,3,399
24890710,2253467,NA,"f","House","t","Hastings-Sunrise","t","strict_14_with_grace_period",4,2,2,2,199
172827,19982,1,"f","Condominium","f","West End","t","moderate",4,2,2,2,300
27849505,210222551,1,"t","House","f","Riley Park","t","strict_14_with_grace_period",1,1,1,2,110
26718176,96599831,1,"t","Apartment","f","Downtown","t","strict_14_with_grace_period",1,1,1,2,59
461386,1200456,1,"t","House","f","Killarney","f","strict_14_with_grace_period",2,1,1,1,90
35419651,266567641,1,"t","Guest suite","f","Kitsilano","t","strict_14_with_grace_period",6,1,2,3,294
34398004,82874575,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",3,1,1,1,224
23056643,171137039,NA,"f","House","t","Renfrew-Collingwood","f","flexible",1,1,1,1,30
25586363,146948242,1,"f","House","t","Marpole","f","moderate",2,1,1,1,50
28334569,42525507,1,"t","Condominium","t","Downtown Eastside","f","moderate",4,1,1,2,165
38109692,212964169,0.8,"f","House","f","Victoria-Fraserview","t","flexible",1,1.5,1,1,36
16254,63238,NA,"f","Guest suite","f","Hastings-Sunrise","t","moderate",4,1,2,3,195
27706117,62266195,1,"t","House","f","Renfrew-Collingwood","t","moderate",8,2,3,3,199
37781050,66507029,0.99,"f","House","t","Kitsilano","t","strict_14_with_grace_period",1,1,1,1,59
160157,767559,1,"t","Condominium","f","West End","f","moderate",3,1,1,1,108
25521321,25854182,NA,"f","Apartment","t","Riley Park","f","moderate",3,1,1,1,180
125176,622926,1,"f","Apartment","f","Riley Park","t","moderate",3,1,1,2,110
23237255,129656102,1,"t","House","f","Shaughnessy","t","moderate",3,1,1,2,85
24475402,60152405,1,"t","Condominium","f","Downtown","f","strict_14_with_grace_period",3,1,2,2,100
36974526,276351989,1,"f","Apartment","f","Downtown","t","moderate",6,2,2,3,199
21813103,158989743,NA,"f","House","f","Kensington-Cedar Cottage","t","flexible",6,2.5,2,4,221
38214834,290377334,1,"t","Apartment","f","Downtown","t","moderate",2,1,1,1,166
34207522,13041659,1,"f","Apartment","t","West End","f","flexible",1,1,1,1,81
18812413,130833480,1,"f","House","f","Kitsilano","t","strict_14_with_grace_period",4,1,2,2,256
6602481,34542738,1,"t","Condominium","t","West End","t","strict_14_with_grace_period",2,1,0,1,145
5459210,21614195,1,"t","House","t","Mount Pleasant","f","strict_14_with_grace_period",4,1,3,3,129
1759915,1721044,0.9,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",3,1,1,1,65
28247128,213226873,1,"f","House","f","Shaughnessy","t","strict_14_with_grace_period",2,1.5,1,1,85
33992656,120561902,0,"f","Apartment","t","West End","t","strict_14_with_grace_period",1,1,1,1,99
24448342,29063125,NA,"f","Guest suite","t","Kerrisdale","f","strict_14_with_grace_period",2,1,0,1,81
36028406,127897660,1,"t","House","f","Riley Park","f","strict_14_with_grace_period",6,1,2,3,215
31883931,30899,0.81,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",3,1,1,1,92
17980077,6510867,NA,"f","Loft","t","Mount Pleasant","f","strict_14_with_grace_period",2,1,1,1,199
38679216,198943375,1,"t","Apartment","f","Downtown","t","strict_14_with_grace_period",5,1,2,3,399
35915471,270149142,1,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",4,1,1,2,230
21391849,2791495,1,"t","Guest suite","f","Renfrew-Collingwood","f","moderate",3,1,1,1,95
3563108,17940097,1,"t","House","f","Downtown Eastside","t","moderate",2,1,0,0,88
5686176,28414778,1,"t","Condominium","t","Downtown","t","strict_14_with_grace_period",4,1,1,1,191
33593725,44207362,1,"f","House","f","Dunbar Southlands","t","moderate",2,1,1,1,75
13429166,65757581,1,"f","House","f","Shaughnessy","t","strict_14_with_grace_period",2,1,1,1,59
33968926,69854297,1,"f","House","f","Riley Park","t","strict_14_with_grace_period",5,1,2,3,184
37652178,129296523,1,"t","Condominium","f","Downtown","f","flexible",3,1,1,2,221
6055572,31427199,1,"t","House","f","Kitsilano","f","strict_14_with_grace_period",6,1,2,3,140
26131051,38459934,0.92,"f","Serviced apartment","f","Downtown","f","moderate",2,1,1,1,151
34836091,157694321,1,"f","House","f","Marpole","f","strict_14_with_grace_period",6,2,3,3,240
33911004,256080027,0.9,"f","House","f","Hastings-Sunrise","f","moderate",8,1,4,4,75
35085454,264282010,NA,"","House","","Oakridge","t","moderate",10,5,5,5,119
21935901,2881440,1,"f","House","f","Fairview","t","moderate",4,1,1,3,199
26428515,198729985,1,"f","Apartment","f","West End","t","strict_14_with_grace_period",4,2,2,2,400
33885031,11949961,1,"t","House","t","Grandview-Woodland","f","flexible",2,1,1,1,63
32851535,129641093,1,"f","Guesthouse","t","Victoria-Fraserview","f","strict_14_with_grace_period",4,1,2,2,148
39560387,261140021,NA,"f","House","f","Grandview-Woodland","f","strict_14_with_grace_period",1,3.5,1,1,26
36035483,271096826,1,"f","House","f","Killarney","t","flexible",1,2,3,1,65
35102711,59547717,1,"t","Condominium","t","Renfrew-Collingwood","t","strict_14_with_grace_period",3,1,0,2,120
20284672,37712788,1,"f","Condominium","f","Downtown Eastside","f","moderate",5,2,2,2,280
35771084,269108189,1,"f","Villa","f","West Point Grey","t","moderate",2,1.5,1,1,99
28159705,212699586,1,"t","Townhouse","f","Kensington-Cedar Cottage","t","flexible",2,1,1,1,99
38573614,133302121,1,"f","Townhouse","f","Kitsilano","t","moderate",4,2.5,2,2,260
18735448,130317864,0.8,"f","Loft","f","Downtown Eastside","t","strict_14_with_grace_period",4,1,1,2,189
33010672,248312623,1,"t","House","f","Oakridge","t","moderate",8,2,4,5,198
39592643,242797882,1,"f","Condominium","f","Downtown","t","moderate",3,1,1,1,118
19271551,25145831,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",4,2,2,2,250
1422750,7657825,1,"t","Townhouse","f","Killarney","f","strict_14_with_grace_period",1,2,1,1,69
38466111,109865466,1,"f","House","t","Kensington-Cedar Cottage","t","moderate",2,1,1,1,81
39555947,137726838,1,"t","Apartment","f","Downtown Eastside","t","flexible",2,1,0,1,199
39208143,277410970,1,"f","House","f","Marpole","t","flexible",6,2,1,2,38
39578119,304098112,NA,"f","House","f","Riley Park","t","flexible",2,1,1,1,65
22702511,11207116,0.75,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",4,1,1,2,75
29522129,222232418,1,"f","House","f","Shaughnessy","t","strict_14_with_grace_period",11,3.5,6,6,489
28181214,211140738,0.91,"f","House","f","Riley Park","f","strict_14_with_grace_period",2,1,1,1,85
25618187,188209109,1,"t","House","f","Oakridge","t","moderate",2,1,1,0,59
22195221,36568043,1,"f","House","f","Riley Park","t","strict_14_with_grace_period",4,1,1,2,98
35013310,43370135,1,"t","House","t","Hastings-Sunrise","f","strict_14_with_grace_period",8,2.5,4,4,305
38599344,2051561,1,"f","Loft","f","Downtown","f","strict_14_with_grace_period",2,2,2,1,189
15626890,8852621,1,"t","Apartment","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,173
23750023,35571562,NA,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,59
24186439,4502616,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",2,1,1,2,94
13962385,18978000,1,"t","House","f","Grandview-Woodland","t","strict_14_with_grace_period",2,1,1,1,54
26418070,166292676,1,"f","Guest suite","f","Kensington-Cedar Cottage","t","strict_14_with_grace_period",4,1,2,3,180
21150832,152613505,NA,"f","Condominium","f","Downtown","t","flexible",2,1.5,1,1,160
19366614,129667696,1,"t","House","f","Hastings-Sunrise","f","moderate",4,1,2,2,110
28528204,18165744,1,"t","Condominium","f","Downtown","t","moderate",2,1,1,1,100
26399940,1820043,1,"t","House","f","Kensington-Cedar Cottage","f","moderate",4,1,1,1,115
13208731,23123490,1,"t","Loft","f","Mount Pleasant","f","strict_14_with_grace_period",2,1.5,0,2,111
38153337,279307978,1,"f","Condominium","t","Oakridge","t","flexible",4,1,1,2,190
23457767,174964667,NA,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",5,2,2,3,118
25426653,8400215,NA,"f","Guesthouse","t","Grandview-Woodland","f","strict_14_with_grace_period",4,1,2,2,99
27898483,73238515,1,"f","House","f","Riley Park","f","strict_14_with_grace_period",2,1,1,1,81
33990561,253043956,1,"t","House","t","Kitsilano","t","moderate",6,1,2,4,203
22850980,3423113,1,"t","Guest suite","f","Kensington-Cedar Cottage","f","strict_14_with_grace_period",2,1,0,1,59
33723950,82965273,1,"f","Condominium","f","Downtown","t","moderate",3,1,1,1,180
3458717,17432096,1,"t","House","t","Kitsilano","t","moderate",6,4,3,3,350
36704974,34011780,1,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",3,1,2,2,250
755558,3976484,1,"t","Guest suite","t","Kitsilano","f","moderate",4,1,2,2,125
28720421,83812330,1,"f","Guest suite","t","South Cambie","f","strict_14_with_grace_period",1,1,1,1,55
14074129,51334828,NA,"f","Guest suite","f","Dunbar Southlands","f","flexible",2,1,1,2,99
38198873,272345960,1,"f","Guest suite","f","Arbutus Ridge","t","strict_14_with_grace_period",4,1,1,2,88
32986499,1659986,0.9,"f","Apartment","t","West End","t","flexible",4,1,1,2,124
39362066,291488473,0.95,"f","Apartment","f","Downtown","t","moderate",4,1,2,2,188
7860380,40984901,1,"t","House","f","Marpole","f","strict_14_with_grace_period",6,1,2,3,148
39207459,300864815,1,"f","House","t","Victoria-Fraserview","f","moderate",8,2,3,4,288
32587632,24635844,1,"f","Apartment","t","Hastings-Sunrise","f","moderate",2,1,1,1,75
19813111,137404009,1,"t","House","f","Oakridge","t","moderate",2,1,1,1,55
25166793,57056932,1,"t","Guest suite","t","Kitsilano","f","strict_14_with_grace_period",4,1,1,2,176
35042478,261226582,1,"f","Condominium","f","Downtown","f","strict_14_with_grace_period",4,1.5,1,1,112
28691819,27672355,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",4,1,1,1,83
7145848,11806625,1,"f","Apartment","f","Fairview","f","strict_14_with_grace_period",1,1,1,1,49
24000674,3655825,NA,"f","Guest suite","f","South Cambie","f","strict_14_with_grace_period",2,1,2,1,95
34399605,251615639,1,"f","Guest suite","t","Victoria-Fraserview","t","moderate",5,1,2,1,129
35423100,32023177,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",6,1.5,2,3,221
24650295,600607,1,"f","Condominium","t","Downtown","f","strict_14_with_grace_period",2,1,1,1,88
29958717,909757,1,"f","Condominium","t","Downtown Eastside","f","strict_14_with_grace_period",5,2,2,2,250
26879019,130060748,0.97,"f","House","t","Sunset","t","moderate",4,1,1,1,85
37129959,279300111,1,"t","House","f","Kensington-Cedar Cottage","f","moderate",8,3,3,3,250
26304189,104739470,NA,"f","Apartment","f","Renfrew-Collingwood","f","moderate",2,1,1,1,75
2168943,11065739,NA,"f","Townhouse","t","Fairview","f","strict_14_with_grace_period",4,2,2,2,176
31178487,63299080,1,"t","House","f","Grandview-Woodland","f","moderate",7,1.5,3,4,450
31669586,101520446,1,"t","House","f","Grandview-Woodland","f","strict_14_with_grace_period",4,1,2,2,158
38628523,10494121,0.92,"f","Apartment","t","Kitsilano","f","strict_14_with_grace_period",3,1,1,2,125
17656294,16132652,1,"f","Guest suite","t","Kensington-Cedar Cottage","f","strict_14_with_grace_period",2,1,1,1,94
34315293,321947,1,"f","House","f","Grandview-Woodland","t","strict_14_with_grace_period",3,2,3,3,151
18507432,119128573,NA,"f","Apartment","f","Kitsilano","f","strict_14_with_grace_period",1,1,1,1,40
23769826,167708643,1,"f","Apartment","f","Mount Pleasant","t","strict_14_with_grace_period",4,1,1,2,129
25751097,152617795,NA,"t","House","f","Marpole","t","strict_14_with_grace_period",2,1,1,1,65
26303866,197782858,1,"f","House","f","Kitsilano","t","strict_14_with_grace_period",4,2,2,2,170
35949257,20242170,1,"t","Condominium","f","Grandview-Woodland","t","moderate",2,1,1,1,71
17558614,74945603,1,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",2,1,1,1,85
32703564,245847291,1,"t","Apartment","f","Marpole","f","strict_14_with_grace_period",6,2,3,3,170
10569670,32600170,1,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",3,1,1,1,151
32089571,189439622,1,"t","Apartment","t","Downtown","t","strict_14_with_grace_period",1,1,1,1,199
21682182,64257561,1,"t","Guest suite","f","Hastings-Sunrise","t","moderate",2,1,1,2,65
1171867,1805803,1,"f","House","t","Kitsilano","f","strict_14_with_grace_period",2,3,1,1,300
37659296,30407272,1,"f","Guest suite","f","Hastings-Sunrise","t","moderate",6,2,3,3,198
33500494,23438750,1,"t","House","t","Kitsilano","f","flexible",5,1,2,4,81
18339479,6093659,1,"t","House","t","Grandview-Woodland","t","strict_14_with_grace_period",7,2,3,3,399
24896061,16143622,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,98
21435333,30899,0.81,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",4,1,1,3,87
2876573,52926,NA,"f","Apartment","f","Downtown","f","strict_14_with_grace_period",2,1,2,1,158
37008710,277410970,1,"f","House","f","Marpole","t","strict_14_with_grace_period",2,1,1,1,51
34002345,12731428,NA,"f","Condominium","t","Mount Pleasant","f","strict_14_with_grace_period",4,2,1,2,180
17593485,119295976,1,"f","House","t","Riley Park","f","flexible",4,1,3,3,176
33546415,23438750,1,"t","House","t","Kitsilano","f","flexible",9,2,4,7,454
24874294,53549710,NA,"f","Apartment","f","Dunbar Southlands","t","moderate",2,1,1,1,20
6853714,11156615,1,"t","Condominium","t","Downtown","f","strict_14_with_grace_period",1,1,1,1,99
20366334,11824155,1,"t","House","f","Renfrew-Collingwood","f","strict_14_with_grace_period",2,1,1,1,50
19527,74129,1,"f","Apartment","t","Fairview","f","flexible",2,1,1,1,168
35765016,180257,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",4,1,2,2,316
28210065,20675391,1,"f","Guest suite","t","Hastings-Sunrise","f","moderate",2,1,1,1,75
39703722,46167499,0.5,"f","Apartment","t","Hastings-Sunrise","f","flexible",2,1,1,1,49
38243153,4037908,1,"f","Guesthouse","t","Grandview-Woodland","f","moderate",5,1,1,3,151
22848678,1481478,1,"t","Guest suite","t","Riley Park","t","strict_14_with_grace_period",4,1,1,1,75
39118453,201833105,1,"f","Townhouse","f","Renfrew-Collingwood","t","strict_14_with_grace_period",4,1,2,2,104
33230188,250216111,1,"t","House","f","Sunset","t","strict_14_with_grace_period",2,2,1,1,70
22298691,139891966,1,"f","Condominium","f","Fairview","f","moderate",4,2,2,2,100
12156919,13505875,1,"f","Apartment","t","Grandview-Woodland","f","moderate",6,2,2,2,189
28615693,7074827,1,"t","Condominium","f","Mount Pleasant","f","strict_14_with_grace_period",5,3,2,3,300
27459578,156027008,NA,"f","Apartment","f","Downtown","f","flexible",1,1,1,1,246
36036194,270582044,1,"f","House","f","Kensington-Cedar Cottage","f","flexible",4,1.5,2,3,129
27261102,203853009,1,"f","House","f","Shaughnessy","t","strict_14_with_grace_period",4,1,2,2,120
25583122,2450753,NA,"f","Loft","t","Strathcona","t","moderate",2,1,1,2,88
27755836,18285957,1,"f","Apartment","t","Mount Pleasant","t","strict_14_with_grace_period",4,1,1,1,165
33752797,199518544,1,"t","Condominium","f","Downtown","t","strict_14_with_grace_period",2,1,1,1,100
36072518,271067470,1,"f","Condominium","f","Downtown","t","strict_14_with_grace_period",5,2,3,3,298
26524234,192870817,1,"t","Guest suite","f","Kitsilano","t","moderate",3,1,1,1,120
15314563,10679595,NA,"f","House","t","Mount Pleasant","f","moderate",4,1.5,2,1,140
20457117,8374,NA,"f","Condominium","f","Grandview-Woodland","f","moderate",4,1,1,0,230
30020096,225603066,1,"t","House","f","Marpole","f","flexible",8,3.5,4,4,699
34180183,95217850,0.91,"f","Apartment","t","Downtown","f","strict_14_with_grace_period",5,2,2,2,180
36278131,103182440,1,"f","Apartment","f","Downtown","t","strict_14_with_grace_period",4,1,1,1,399
39178893,188937423,1,"f","Condominium","f","Downtown","f","moderate",2,1,1,2,129
